Country,Year,Rank,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','L1: Literacy rate adult','A1: Exports and imports','A2: Foreign direct investment net inflows','R1: Life expectancy at birth','R2: Life expectancy Index','U1: Unemployment total',Outlier,ExtremeValue
Cameroon,2010,26th,Alert,7.8,8.7,7.5,7,8.7,8.1,9,8,7.8,8.2,7.6,7,83.25,80.4,2.9,47.3,0.42,8.4,no,no
Canada,2010,166th,Sustainable,1.2,2.4,3.1,2.5,4.5,2.1,1.5,1.5,1.9,3.2,2.5,1.5,83.25,69.1,7.3,50.9,0.475,4.5,no,no
'Cape Verde',2010,88th,Warning,5.5,6.1,4.4,7,6,8.2,7.2,7.4,6,7.7,4.1,7.6,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
'Central African Republic',2010,8th,Alert,9.7,9.1,8.9,8.4,9.2,6.1,9,9.2,8.8,9.1,9.3,9.6,83.25,49,4,78.8,0.904,11,no,no
Chad,2010,2nd,Alert,9.9,9.8,9.8,8.5,9.3,8.3,9.9,9.6,9.6,9.4,9.5,9.7,83.25,34.3,2.2,74.4,0.837,4.2,no,no
Chile,2010,155th,Sustainable,2.3,1.5,3.4,4.6,4.5,2.5,1.8,4,3.4,4.1,2.6,3.3,89.5,39.5,0.9,75.4,0.853,14.2,no,yes
China,2010,62nd,Warning,5.8,7.2,8,4.3,9,5.9,8.3,7,9,8.8,6.6,3.1,91.9,139.8,12.7,61.9,0.644,4,no,yes
Colombia,2010,46th,Warning,7.7,8,7.2,4.6,8.3,8.3,7.7,5.8,6.9,6.7,9,8,72,90.7,12.7,60.1,0.617,7.2,no,yes
Comoros,2010,52nd,Warning,7.5,8,5.6,7.6,6.1,6.4,8.2,8.5,6.8,7.5,3.9,9,84.5,68.2,5.1,56.9,0.568,11.6,no,yes
'Congo Democratic Republic',2010,5th,Alert,9.8,8.9,8.6,8.7,9.5,8,8.8,9,9.4,9.9,9.6,9.7,83.25,40.3,53.2,76.8,0.874,6.3,no,yes
'Congo Republic',2010,31st,Alert,7.6,7.1,6.3,7.8,8.1,6.4,9.1,8.6,7.7,8.7,7.7,7.4,83.25,75.6,2.4,78.8,0.904,2.5,no,no
'Costa Rica',2010,138th,Stable,2.5,3.2,3.9,5.4,6.5,4.5,3.9,4.1,3.3,5.5,4.6,4.6,83.1,107.7,4.9,78.3,0.898,7.3,no,yes
'Cote dIvoire',2010,12th,Alert,8.2,8.5,8.9,8,7.9,8.2,9,8.3,8.3,8.4,8,9.5,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Croatia,2010,131st,Stable,4.4,4.3,5.2,6.2,5.3,4.6,4.8,3.7,4.5,4.7,5.9,5.4,83.25,129,1.4,79.4,0.914,6.8,no,no
Cuba,2010,77th,Warning,7.3,7.1,5.5,6.3,6.6,7.2,7,5,7.5,6.7,5.7,7.5,83.25,94,-3.7,77.6,0.886,7.5,no,no
Cyprus,2010,114th,Warning,5.3,7.9,7.6,4.3,7.6,5,5.2,3.4,3.6,4.8,4.5,8.8,83.25,94.1,3.2,53,0.507,12.5,no,no
'Czech Republic',2010,152nd,Sustainable,2.1,3.3,3.4,4.4,4.1,4.3,3.4,3.6,3.3,3.3,2.8,3.5,83.25,89.315823,4.9,79.4,0.914,5.2,no,no
Denmark,2010,172nd,Sustainable,1.5,1,3,3.1,2,1.8,1.1,1.3,1.3,2.8,1.7,2.3,71.5,88.1,3.4,60.1,0.616,4.1,no,yes
Djibouti,2010,68th,Warning,6,7.1,5.9,6.4,6.5,5.5,7.2,7.3,6.6,7.9,6.8,8.7,83.25,60.3,2.9,72,0.801,4.9,no,no
'Dominican Republic',2010,93rd,Warning,5.6,6.8,5.8,5.9,7.8,8.3,5.6,6.9,6.5,6.5,5.1,6,25.3,73.5,16.8,70.3,0.775,6.9,no,yes
Ecuador,2010,69th,Warning,6.6,7.8,6.4,6.7,8,7.5,7.4,7,5.8,6.3,6.1,6.1,83.25,28.1,13.3,55.6,0.548,27.3,no,no
Egypt,2010,49th,Warning,6.5,8.1,8.2,6.8,7.4,6,8.4,6.1,8.2,7.4,6.7,7.8,84.8,143.8,3.1,62.2,0.649,2.4,no,yes
'El Salvador',2010,85th,Warning,6.7,4.5,5.9,6.6,7.9,7.1,6.8,7,6.7,8.1,5.7,5.1,83.25,106,1,75.3,0.851,4.4,no,no
'Equatorial Guinea',2010,44th,Warning,8.4,8.4,6.8,4.7,8.8,7.4,9.6,8.4,9.4,8.4,2.3,5.9,83.25,89.315823,5.7,46.6,0.409,8.4,no,no
Eritrea,2010,30th,Alert,7.6,7.9,6.1,8.6,6.2,7.1,8.8,8.6,8.4,8.7,7.2,8.1,83.25,76.1,4.9,61.6,0.64,8.9,no,no
Estonia,2010,140th,Stable,2.6,5.5,5,5,5.2,4.1,4.5,3.3,3.3,4.5,4.2,3.5,83.25,54.9,1.5,66.7,0.718,20.4,no,no
Ethiopia,2010,17th,Alert,7.8,9,8.6,8,8.5,7.5,7.7,8.1,8.7,9.2,7.8,7.9,83.25,66.5,3.9,81.5,0.946,17.4,no,no
