Country,Year,Rank,Total,'C1: Security Apparatus','C2: Factionalized Elites','C3: Group Grievance','E1: Economy','E2: Economic Inequality','E3: Human Flight and Brain Drain','P1: State Legitimacy','P2: Public Services','P3: Human Rights','S1: Demographic Pressures','S2: Refugees and IDPs','X1: External Intervention','L1: Literacy rate adult','A1: Exports and imports','A2: Foreign direct investment net inflows','R1: Life expectancy at birth','R2: Life expectancy Index','U1: Unemployment total',Outlier,ExtremeValue
Singapore,2010,160th,Sustainable,1.5,4.1,2.9,3.7,3.1,2.5,4.2,1.7,4.4,2.8,0.9,3,83.25,127.3,5.7,82.3,0.958,4,no,no
'Slovak Republic',2010,143rd,Stable,2.1,3.9,4.8,5,5.6,5.2,4.1,3.8,3.8,4.1,2.2,4.2,83.25,150.9,4.3,72.1,0.802,3.7,no,no
Slovenia,2010,156th,Sustainable,2.8,1.3,3.4,4,5,3.3,2.8,3,3,3.4,1.4,2.6,83.25,90.3,0.8,68.7,0.75,8.1,no,no
'Solomon Islands',2010,43rd,Warning,7,8,7,8,7.9,5.4,8.1,8.2,6.8,8.3,4.8,9.1,83.25,104.1,1.3,74.2,0.834,7.8,no,no
Somalia,2010,1st,Alert,10,10,9.7,9.6,8,8.3,10,9.6,9.9,9.6,10,9.6,83.25,45.9,2.5,67.2,0.726,9.6,no,no
'South Africa',2010,115th,Warning,4.1,5.9,5.6,5,8.5,4.4,5.8,5.5,4.7,8.4,7,3,83.25,96.9,3,57.5,0.576,7.2,no,no
'South Korea',2010,153rd,Sustainable,1.5,3.6,3.9,2.8,2.5,4.8,3.9,2.3,2.8,3.6,3.3,6.3,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Spain,2010,151st,Stable,5.3,5.7,6.3,4.4,5,1.8,1.6,2.4,2.5,3.7,2.8,2,83.25,141.3,1.4,75,0.847,8.5,no,no
'Sri Lanka',2010,25th,Alert,8.5,9.4,9.6,5.9,8.7,6.7,8.6,6.4,8.8,7.3,9.4,6.4,83.25,58.5,2.7,74.5,0.839,1.1,no,no
Sudan,2010,3rd,Alert,9.8,9.9,9.9,6.7,9.5,8.7,9.9,9.3,9.9,8.8,9.8,9.6,83.25,51.7,3,57.1,0.571,13.2,no,no
Suriname,2010,105th,Warning,6,5.8,6.4,6.6,7.7,6.7,6.5,5.1,5.8,6,3.7,6.2,83.25,59.3,2.7,69.4,0.759,5.1,no,no
Swaziland,2010,63rd,Warning,6.6,6.9,4.2,8.2,6.2,6.2,8.6,7.6,7.7,9.1,4.2,7.3,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Sweden,2010,175th,Sustainable,1.3,1.3,1.3,2.2,2.1,1.8,0.8,1.3,1.8,2.7,2.7,1.6,83.25,99.4,1.8,76.3,0.867,?,no,no
Switzerland,2010,174th,Sustainable,1.2,1,3.3,2.4,2.6,1.8,1,1.4,2.2,2.4,1.5,1,83.25,46.1,5.4,80.4,0.929,?,no,no
Syria,2010,48th,Warning,7.6,7.8,8.3,6.3,7.8,6.6,8.6,5.5,8.8,5.9,8.9,5.8,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Tajikistan,2010,38th,Warning,7.3,8.4,6.9,7.5,7.1,6.3,8.9,7.3,8.7,8,6.2,6.6,83.25,67.9,9,76.8,0.873,?,no,no
Tanzania,2010,72nd,Warning,5.6,6,6.4,7.2,6.7,6.1,6.5,8.3,5.9,8.2,7.3,7,83.25,83.1,0.4,69.7,0.764,?,no,no
Thailand,2010,81st,Warning,7.4,8,7.8,4.3,7.5,4.7,8,5.4,7,6.7,6.7,5.3,83.25,89.315823,6.9,69.1,0.756,?,no,no
Timor-Leste,2010,18th,Alert,8.8,8.7,7.5,8.4,7,6.1,9.1,8.7,7,8.6,9.1,9.2,83.25,89.315823,0.6,73.1,0.817,?,no,no
Togo,2010,47th,Warning,7.6,7.6,5.6,8,7.6,7,7.5,8.4,7.7,8,6.2,6.9,83.25,89.315823,8.5,74.8,0.844,?,no,no
'Trinidad and Tobago',2010,124th,Stable,6,5.6,4.9,4.8,7.2,7.3,5.9,5.2,5.4,5.6,3.1,5.1,83.25,89.315823,5.970552,55.7,0.549,?,no,no
Tunisia,2010,118th,Warning,6.5,6,5.4,5,7,5.2,6.4,5.7,7.5,5.7,3.4,3.7,83.25,89.315823,5.970552,50.6,0.471,?,no,no
Turkey,2010,89th,Warning,7.4,7.8,8,5.8,7.8,4.8,6,5.4,5.5,6.3,6.3,6,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Turkmenistan,2010,65th,Warning,7.7,7.7,6.3,6.6,7.4,5.4,8.4,7,9,6.8,4.6,5.6,83.25,57.3,5.970552,78,0.893,8.2,no,no
Uganda,2010,21st,Alert,8.7,8.6,8.5,7.2,8.4,6.9,7.9,8.2,7.6,8.7,8.9,7.9,83.25,50,3.3,73.1,0.817,6,no,no
Ukraine,2010,109th,Warning,3.8,7.9,6.9,6.3,6.2,6.6,7.2,4,5.3,5.6,3.1,6.6,83.25,58.6,1.9,66.7,0.718,2.9,no,no
'United Arab Emirates',2010,137th,Stable,2.7,4,4.7,3.9,5.7,3.3,6.7,3.4,5.9,4.4,3.2,4.5,83.25,52.5,2.9,57.5,0.576,5.1,no,no
'United Kingdom',2010,161st,Sustainable,2.7,3.2,4.1,3,4.5,1.8,1.6,2.3,2.3,3.2,3,2.2,83.25,59.4,3.4,68.8,0.751,4.9,no,no
'United States',2010,158th,Sustainable,1.6,3.3,3.4,4,5.4,1.1,2.5,2.5,3.7,3.1,3.2,1.5,83.25,89.315823,5.970552,69.933333,0.768196,?,no,no
Uruguay,2010,153rd,Sustainable,3.4,3,2,4,5,5.6,2.6,3.4,2.5,4.3,1.3,4.2,83.25,88.1,3.3,70.4,0.776,9.6,no,no
Uzbekistan,2010,36th,Alert,8.8,9,7.4,7,8.5,6.6,8.5,6.4,9.3,7.7,5.1,6.2,83.25,67.1,4.4,73.1,0.817,4.2,no,no
Venezuela,2010,82nd,Warning,6.7,7.5,6.8,5.8,7.6,6.7,7.2,6.1,7.2,6.3,5.1,5.7,83.25,40.9,3.1,74.1,0.832,7,no,no
Vietnam,2010,95th,Warning,6,7,5.3,6.6,6.5,5.9,7.3,6.4,7.3,6.9,5.2,6.2,83.25,62.5,2.4,56.5,0.562,6.5,no,no
Yemen,2010,15th,Alert,8.9,9.2,8.2,7.9,8.6,7.2,8.7,8.6,8,8.6,8.3,7.8,83.25,229,14.3,70.3,0.774,6.2,yes,no
Zambia,2010,56th,Warning,5,6.1,5.4,8,7.3,7.1,7.5,8,5.9,9,7.3,7.3,83.25,52.3,2.2,79.4,0.913,8.4,no,no
Zimbabwe,2010,4th,Alert,9.2,9.5,8.8,9.6,9.4,9.7,9.6,9.4,9.5,9.4,8.6,7.5,83.25,55.8,2.7,70.5,0.778,5.6,no,no
