Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,L1: Literacy rate adult,A1: Exports and imports,A2: Foreign direct investment net inflows,R1: Life expectancy at birth,R2: Life expectancy Index,U1: Unemployment total
Georgia,2010,37th,90.4,8,9.1,8.4,6.5,7.2,5.8,9,6.4,7.3,6.2,7.8,8.7,,73.5,1.5,72.9,0.813,11.7
Germany,2010,157th,35.4,2.2,2,4.7,3.6,4.7,2.6,2.1,1.7,2.3,3.3,4,2.2,,50.1,3.1,71.5,0.792,15.6
Ghana,2010,122nd,67.1,2.6,4.2,5.2,5.8,6.4,7.9,5.1,7.6,4.7,7.1,5.3,5.2,,130.5,8.7,56.9,0.567,4.1
Greece,2010,147th,45.9,3.4,2.4,4.2,4.3,4.6,4.5,4.6,3.7,3.4,4.5,2.8,3.5,,80.1,2.7,54.6,0.533,4.3
Grenada,2010,123rd,67,5.4,5.8,4.2,6.1,6.7,7.6,6.4,3.9,4.6,5.8,2.9,7.6,61.3,109.4,3.9,68.1,0.739,11.2
Guatemala,2010,72nd,81.2,7.2,6.3,6.8,6.9,8,6.7,7.1,6.8,6.9,7.4,5.6,5.5,93.1,404.8,36.2,60.5,0.623,7.6
Guinea,2010,9th,105,9.4,9.3,8.2,8.9,8.7,8.6,9.8,9,9.5,8.3,7.5,7.8,,158.4,-16,73.3,0.82,2.4
Guinea Bissau,2010,22nd,97.2,8.9,8.9,5.8,8.3,8.4,7.1,9.1,8.8,8.1,8.5,6.8,8.5,31.1,94.1,1.9,82.9,0.968,5.6
Guyana,2010,102nd,73,6.6,5.1,6.2,6.9,7.7,8,6.8,5.3,5.2,6.1,3.6,5.5,,49.3,1.6,74.5,0.838,13.5
Haiti,2010,11th,101.6,8.2,8.4,7.3,9.2,8.3,8.6,9.3,9.5,8.3,9.3,5.6,9.6,,46.7,2,81.8,0.951,8.6
Honduras,2010,76th,80,7,6.8,5,7.5,8.3,6.5,7.5,6.9,6.3,7.6,4.1,6.5,,73.5,1,69.2,0.757,8.5
Hungary,2010,141st,50.1,2.2,5,3.2,5.4,5.9,4.8,5.7,3.6,3.3,3.3,3.1,4.6,98.3,52.3,0.5,80.2,0.926,5.1
Iceland,2010,165th,29.8,1.1,2,1,7.2,2.3,3,2,1.5,1.9,0.8,1.1,5.9,,80.9,1.4,81.5,0.946,12.5
India,2010,79th,79.2,7.6,6.2,7.8,5.1,8.7,6.5,5.8,7.2,6.1,8.1,5.2,4.9,,28.6,0.1,82,0.953,5.8
Indonesia,2010,61st,83.1,7.3,7.1,6.3,6.7,7.9,7.3,6.9,6.7,6.5,7.2,6.5,6.7,,116.9,6.4,74,0.831,9.7
Iran,2010,32nd,92.2,8.9,9.5,8.1,5.5,7.3,7.1,9,5.9,9.4,6.4,8.3,6.8,,74.1,5,83,0.969,3.7
Iraq,2010,7th,107.3,9.5,9.6,9.3,7.6,8.8,9.3,9,8.4,9.1,8.5,8.7,9.5,,54.2,0.4,73.4,0.822,3.7
Ireland,2010,173rd,22.4,1.4,1.5,1,3.3,2.8,2,1.6,2.4,1.5,2,1.6,1.3,,91.5,-4.2,67.4,0.729,1.8
Israel and West Bank,2010,54th,84.6,6.5,8.2,9.5,4.4,7.7,3.8,7.3,6.8,7.8,7,7.8,7.8,,95.7,0.9,61,0.63,8.6
Italy,2010,149th,45.7,4.2,4,4.8,4.7,4.5,2.8,4.5,3.1,3,4,3.9,2.2,,97,1.1,65.8,0.704,0.7
Jamaica,2010,119th,67.4,5.8,4,4.5,6.8,6.5,6.4,6.8,6.2,5.5,6,2.8,6.1,,133.2,9.9,69.6,0.763,19.5
Japan,2010,164th,31.3,2.1,2.2,3.6,3.5,2.6,2.1,1.8,1.3,3.2,4,1.2,3.7,86.9,84.7,3.9,80.4,0.93,6.5
Jordan,2010,90th,77,5.9,6.5,6.9,6.2,7.2,4.8,5.9,5.2,7,6.8,7.9,6.7,55.4,108.8,1.8,74.4,0.836,27.2
Kazakhstan,2010,103rd,72.7,6.3,7.6,5.7,6.7,6.2,4.1,7.5,5.5,7.1,5.8,4,6.2,,96,11.1,68.8,0.752,2.3
Kenya,2010,13th,100.7,7.5,8.7,8.9,7.4,8.7,7.9,9.3,8.1,8,9.1,8.7,8.4,94.9,142,0.4,64.3,0.682,17.6
Kuwait,2010,125th,61.5,4.9,7.2,5.1,3.8,6.1,4.1,6,3.1,6.5,5.5,4.1,5.1,93.9,132.6,2.3,45.1,0.386,4.3
Kyrgyz Republic,2010,45th,88.4,7.6,7.4,7.4,7.9,7.9,7.3,8.4,6.3,7.6,7.8,5.2,7.6,,316.2,73.5,59.6,0.609,6.3
Laos,2010,40th,88.7,7.4,8.5,6.8,7.3,5.8,6.7,8.3,8.1,8.7,7.9,5.9,7.3,,68,10.4,72,0.801,3.3
Latvia,2010,135th,55.4,3,4.3,4.6,6.3,6,5,5.4,4.2,3.5,4.3,4.3,4.5,,157.9,4.3,72.8,0.813,8.1
Lebanon,2010,34th,90.9,8.9,8.8,9,6.1,7.2,7,7.3,6,6.8,6.8,8.9,8.1,99.7,58,3.5,63.4,0.668,10.6
Lesotho,2010,67th,82.2,5.9,7.2,5.2,8.7,5.7,6.7,7.2,8.5,6.3,9.2,4.8,6.8,65.9,307.4,105.8,55.6,0.547,7.7
Liberia,2010,33rd,91.7,6.7,8.1,6.3,8,8.3,6.7,7.1,8.5,6.5,8.4,8.2,8.9,,157.8,-5.7,74.5,0.838,5.3
Libya,2010,111th,69.1,5.2,7.1,5.8,5.3,6.9,4.2,7.3,4.2,8.3,5.7,4.3,4.8,,111.9,3,75.9,0.86,7.5
